hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,16,2017,July,29,21,0,1,2,0.0,0,BB,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,118.0,0,1,Check-Out,2017-07-22
City Hotel,0,94,2017,April,15,14,1,2,2,0.0,0,SC,Poland,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient,80.1,0,0,Check-Out,2017-04-17
Resort Hotel,0,23,2016,March,11,9,0,4,2,0.0,0,BB,Germany,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,0,Transient,58.0,0,0,Check-Out,2016-03-13
City Hotel,0,63,2015,September,36,4,0,2,1,0.0,0,HB,Spain,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,80.5,0,0,Check-Out,2015-09-06
City Hotel,1,81,2016,April,16,10,2,0,2,0.0,0,SC,Indonesia,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,85.5,0,0,Canceled,2016-03-24
Resort Hotel,0,0,2017,March,12,23,0,1,1,0.0,0,BB,United Kingdom,Direct,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,60.0,0,1,Check-Out,2017-03-24
Resort Hotel,0,24,2016,July,31,29,0,2,2,0.0,0,BB,Spain,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,191.0,1,1,Check-Out,2016-07-31
City Hotel,0,215,2016,November,48,21,1,1,1,0.0,0,BB,Türkiye,Groups,Corporate,0,0,0,A,E,1,No Deposit,0,Transient,75.0,0,0,Check-Out,2016-11-23
City Hotel,0,13,2016,April,18,26,0,3,2,0.0,0,HB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,96.0,0,0,Check-Out,2016-04-29
City Hotel,0,50,2017,June,25,19,1,1,2,0.0,0,BB,United States,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,0,Transient,150.0,0,1,Check-Out,2017-06-21
City Hotel,0,0,2016,October,43,17,1,1,1,0.0,0,BB,Italy,Direct,Direct,0,0,0,A,A,2,No Deposit,0,Transient-Party,95.0,0,0,Check-Out,2016-10-19
City Hotel,1,97,2016,October,45,30,2,1,2,0.0,0,BB,United Kingdom,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.75,0,0,Canceled,2016-07-27
Resort Hotel,0,3,2016,October,41,4,0,3,2,2.0,0,BB,Poland,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,0,Transient,165.0,0,0,Check-Out,2016-10-07
Resort Hotel,0,273,2017,August,34,23,0,4,2,0.0,0,BB,Portugal,Direct,TA/TO,0,0,1,A,A,4,No Deposit,0,Transient,152.38,1,1,Check-Out,2017-08-27
City Hotel,1,468,2016,October,43,20,0,2,2,0.0,0,BB,Spain,Groups,TA/TO,0,0,0,A,A,0,Non Refund,0,Transient,62.0,0,0,Canceled,2015-10-21
City Hotel,0,135,2016,August,35,22,1,5,2,0.0,0,BB,France,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,72.42,0,0,Check-Out,2016-08-28
City Hotel,0,32,2017,February,7,17,1,2,3,0.0,0,BB,France,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,0,Transient,105.0,0,0,Check-Out,2017-02-20
City Hotel,0,135,2015,September,38,14,1,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,90.0,0,0,Check-Out,2015-09-17
City Hotel,0,5,2016,March,12,19,2,1,2,0.0,0,BB,United States,Groups,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient-Party,93.33,0,0,Check-Out,2016-03-22
City Hotel,1,117,2016,February,10,29,1,2,2,0.0,0,BB,Spain,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,44,Transient,75.0,0,0,Canceled,2015-12-18
City Hotel,0,17,2017,May,18,4,0,1,2,0.0,0,BB,United Kingdom,Direct,Direct,0,0,0,A,A,1,No Deposit,0,Transient,130.0,0,0,Check-Out,2017-05-05
City Hotel,1,260,2015,July,27,4,2,2,2,0.0,0,BB,Spain,Groups,TA/TO,0,1,0,A,A,0,Non Refund,0,Transient-Party,62.0,0,0,Canceled,2015-06-16
Resort Hotel,0,6,2015,November,47,16,1,2,1,0.0,0,BB,France,Corporate,Corporate,0,0,0,A,A,0,No Deposit,0,Transient-Party,38.0,0,0,Check-Out,2015-11-19
City Hotel,0,139,2017,July,26,1,2,1,1,0.0,0,SC,Germany,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,80.1,0,0,Check-Out,2017-07-04
City Hotel,0,3,2015,August,34,16,2,0,2,0.0,0,BB,United Kingdom,Direct,Direct,0,0,0,B,B,0,No Deposit,0,Transient-Party,75.0,0,1,Check-Out,2015-08-18
Resort Hotel,0,12,2016,August,32,2,0,4,2,0.0,0,BB,Ireland,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,221.0,0,1,Check-Out,2016-08-06
City Hotel,0,66,2016,August,36,31,0,4,2,0.0,0,SC,Portugal,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,0,Transient,120.6,0,0,Check-Out,2016-09-04
Resort Hotel,0,0,2015,September,37,11,0,1,2,0.0,0,BB,France,Offline TA/TO,TA/TO,0,0,0,A,C,0,No Deposit,0,Transient,104.8,0,0,Check-Out,2015-09-12
City Hotel,0,132,2015,July,30,23,0,1,1,0.0,0,HB,Portugal,Groups,TA/TO,0,0,0,A,A,1,No Deposit,0,Transient-Party,0.0,0,0,Check-Out,2015-07-24
